prompt,model,rank,weight,size,chunks
v3,gpt-4o,8,0.02,9,"200,202,206,214,226,227,228,236,250"
v3,gpt-4o,9,0.02,12,"200,202,214,215,216,224,226,227,228,236,246,250"
v3,gpt-4o,10,0.02,13,"195,199,200,201,202,215,224,226,227,228,236,239,250"
v3,gpt-4o,11,0.02,11,"200,201,202,203,215,224,226,227,228,236,250"
v3,gpt-4o,12,0.01,11,"200,202,214,216,224,226,227,236,238,240,250"
v3,gpt-4o,13,0.01,8,"199,200,201,227,228,246,250,251"
v3,gpt-4o,14,0.01,17,"199,200,201,202,206,207,210,213,214,217,224,226,227,228,236,239,250"
v3,gpt-4o,15,0.01,9,"195,200,201,214,216,226,227,236,250"
v3,gpt-4o,16,0.01,11,"200,201,207,214,224,225,226,227,228,236,250"
v3,gpt-4o,17,0.01,10,"199,200,201,202,226,227,228,236,250,251"
v3,gpt-4o,18,0.01,14,"199,200,201,214,215,224,225,226,227,228,236,239,240,250"
v3,gpt-4o,19,0.01,13,"200,201,208,213,214,215,224,226,227,228,236,250,251"
v3,gpt-4o,20,0.01,16,"200,201,202,215,217,224,225,226,227,228,236,237,239,250,251,252"
v3,gpt-4o,21,0.01,16,"195,200,201,202,214,216,224,226,227,228,236,237,239,240,246,250"
v3,gpt-4o,22,0.01,13,"200,201,203,214,215,216,224,226,227,250,251,252,253"
v3,gpt-4o,23,0.01,9,"200,202,226,227,228,236,240,247,250"
v3,gpt-4o,24,0.01,8,"215,216,218,224,226,227,236,250"
v3,gpt-4o,25,0.01,13,"200,201,214,216,224,225,226,227,228,236,246,250,251"
v3,gpt-4o,26,0.01,16,"199,200,201,203,214,215,216,224,225,226,227,228,236,240,250,251"
v3,gpt-4o,27,0.01,10,"200,201,214,215,222,226,227,228,239,250"
v3,gpt-4o,28,0.01,8,"200,201,227,228,236,246,250,252"
v3,gpt-4o,29,0.01,16,"199,200,201,202,213,214,215,224,225,226,227,228,236,250,251,252"
v3,gpt-4o,30,0.01,16,"199,200,201,202,215,216,224,226,227,228,236,237,239,240,246,250"
v3,gpt-4o,31,0.01,11,"195,200,202,214,216,224,226,227,236,250,252"
v3,gpt-4o,32,0.01,7,"200,226,236,246,249,250,251"
v3,gpt-4o,33,0.01,11,"199,200,201,214,215,226,227,236,239,250,251"
v3,gpt-4.1-mini,1,0.65,6,"200,226,227,228,250,251"
v3,gpt-4.1-mini,2,0.2,6,"220,226,227,228,251,252"
v3,gpt-4.1-mini,3,0.12,7,"200,215,216,226,227,228,236"
v3,gpt-4.1-mini,4,0.01,9,"200,214,216,226,227,228,236,246,251"
v3,gpt-4.1-mini,5,0.01,10,"220,224,226,227,228,249,250,251,252,253"
v3,gpt-4.1-mini,6,0.01,9,"220,221,224,226,227,228,236,250,251"
v3,kimi-k3 (nores),1,0.69,15,"200,201,202,214,224,225,226,227,228,229,236,239,250,251,252"
v3,kimi-k3 (nores),2,0.21,11,"200,201,214,224,226,227,236,239,250,251,252"
v3,kimi-k3 (nores),3,0.04,10,"200,214,224,226,227,236,249,250,251,252"
v3,kimi-k3 (nores),4,0.03,11,"200,214,224,226,227,228,236,239,250,251,252"
v3,kimi-k3 (nores),5,0.01,54,"199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252"
v3,kimi-k3 (nores),6,0.01,17,"200,201,212,214,224,225,226,227,228,229,231,236,239,244,250,251,252"
v3,kimi-k3 (nores),7,0.01,37,"199,200,201,202,203,214,217,218,219,220,221,222,223,224,225,226,227,228,229,230,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252"
v3,glm-5p2 (nores),1,0.72,13,"200,214,224,225,226,227,228,236,239,249,250,251,252"
v3,glm-5p2 (nores),2,0.19,11,"200,214,224,226,227,228,236,239,250,251,252"
v3,glm-5p2 (nores),3,0.05,12,"200,215,224,226,227,228,236,239,249,250,251,252"
v3,glm-5p2 (nores),4,0.04,14,"200,206,214,217,224,226,227,228,236,239,249,250,251,252"
v3,gemini-3.6-flash,1,0.79,15,"200,201,214,224,225,226,227,228,229,236,239,244,250,251,252"
v3,gemini-3.6-flash,2,0.17,18,"143,200,201,212,214,224,225,226,227,228,229,231,236,239,244,250,251,252"
v3,gemini-3.6-flash,3,0.04,14,"200,201,214,224,226,227,229,231,236,239,244,250,251,252"
v3,gemini-3.5-flash,1,0.96,18,"143,200,201,212,214,224,225,226,227,228,229,231,236,239,244,250,251,252"
v3,gemini-3.5-flash,2,0.04,14,"200,201,214,224,225,226,227,228,229,236,239,250,251,252"
v3,claude-haiku-4-5-20251001,1,0.98,14,"200,201,202,214,224,225,226,227,228,236,239,250,251,252"
v3,claude-haiku-4-5-20251001,2,0.02,16,"200,201,202,224,225,226,227,228,229,236,239,240,249,250,251,252"
v3,gpt-4.1,1,1.0,12,"200,201,214,224,225,226,227,228,236,239,250,252"
